 event_id   pos_x  pos_z  n_pmt132  n_pmt133  n_pmt134
        0 -1200.0  300.0       NaN       NaN       NaN
        1 -1000.0  300.0       0.0       0.0       8.0
        2  -800.0  300.0       0.0       0.0      21.0
        3  -600.0  300.0       NaN       NaN       NaN
        4  -400.0  300.0       0.0       0.0       4.0
        5  -200.0  300.0       NaN       NaN       NaN
        6     0.0  300.0       NaN       NaN       NaN
        7   200.0  300.0       NaN       NaN       NaN
        8   400.0  300.0       NaN       NaN       NaN
        9   600.0  300.0       NaN       NaN       NaN
       10   800.0  300.0       NaN       NaN       NaN
       11  1000.0  300.0       NaN       NaN       NaN
       12  1200.0  300.0       NaN       NaN       NaN
       13 -1200.0  500.0       0.0       0.0      14.0
       14 -1000.0  500.0       0.0       0.0       6.0
       15  -800.0  500.0       0.0       0.0      33.0
       16  -600.0  500.0       0.0       0.0      73.0
       17  -400.0  500.0       0.0       0.0     138.0
       18  -200.0  500.0       NaN       NaN       NaN
       19     0.0  500.0       NaN       NaN       NaN
       20   200.0  500.0       NaN       NaN       NaN
       21   400.0  500.0       NaN       NaN       NaN
       22   600.0  500.0       NaN       NaN       NaN
       23   800.0  500.0       NaN       NaN       NaN
       24  1000.0  500.0       NaN       NaN       NaN
       25  1200.0  500.0       NaN       NaN       NaN
       26 -1200.0  700.0       0.0       0.0       3.0
       27 -1000.0  700.0       0.0       0.0      56.0
       28  -800.0  700.0       0.0       0.0     101.0
       29  -600.0  700.0       0.0       0.0     286.0
       30  -400.0  700.0       0.0       0.0     234.0
       31  -200.0  700.0       0.0      17.0     125.0
       32     0.0  700.0       0.0      25.0       5.0
       33   200.0  700.0       0.0       9.0       0.0
       34   400.0  700.0       NaN       NaN       NaN
       35   600.0  700.0       NaN       NaN       NaN
       36   800.0  700.0       NaN       NaN       NaN
       37  1000.0  700.0       NaN       NaN       NaN
       38  1200.0  700.0       NaN       NaN       NaN
       39 -1200.0  900.0       NaN       NaN       NaN
       40 -1000.0  900.0       0.0       0.0      12.0
       41  -800.0  900.0       0.0       0.0    1240.0
       42  -600.0  900.0       0.0       9.0     556.0
       43  -400.0  900.0       0.0      88.0     312.0
       44  -200.0  900.0       0.0     111.0     196.0
       45     0.0  900.0       0.0     111.0      27.0
