      event_id  detector_system  detector_index  n_hits  first_arrival
0            1                0               5       1       5.331446
1            1                0               8       6       3.566695
2            1                0              16      24       2.382416
3            1                0              18       6       1.668139
4            1                0              99       9       5.618342
5            1                2             134       8       4.497990
6            2                0               5      64       3.955215
7            2                0               8     109       2.754514
8            2                0              16     271       1.627360
9            2                0              18     152       1.518552
10           2                0              99      10       5.168433
11           2                0             120      10       3.172277
12           2                2             134      21       4.454540
13           3                0               5     107       3.405066
14           3                0               8     318       2.301977
15           3                0              16     538       1.764878
16           3                0              99      18       4.922815
17           4                0               5     264       2.968119
18           4                0               8     190       2.368005
19           4                0              16     118       1.598202
20           4                0              82      42       6.256254
21           4                0              97      96       5.469722
22           4                0              99      12       4.593019
23           4                2             134       4       5.123028
24           5                0               5     541       3.104409
25           5                0               6     157       1.341304
26           5                0               7       1       3.866529
27           5                0               8     114       2.275229
28           5                0               9       1       2.101623
29           5                0              16      32       2.300263
30           5                0              82      37       6.243362
31           5                0              97     106       5.036098
32           5                0              99      72       4.595466
33           6                0               5     189       2.926165
34           6                0               6     208       1.413321
35           6                0               7     220       2.711497
36           6                0               8     151       2.701467
37           6                0               9     486       1.689990
38           6                0              97     122       4.697350
39           6                0              99     187       4.691212
40           6                0             112       4       4.891409
41           6                0             115       1       6.047551
42           7                0               5     126       3.364921
43           7                0               6       9       1.781591
44           7                0               7     496       2.347486
45           7                0               9     218       1.643126
46           7                0              82       3       6.646120
47           7                0              97      83       4.550765
48           7                0              99      54       5.021062
49           7                0             112      82       4.451618
50           7                0             115      11       5.888754
51           8                0               0     140       1.587179
52           8                0               3      30       1.316546
53           8                0               5      11       3.915166
54           8                0               7     220       2.313804
55           8                0               9     181       1.953979
56           8                0              97      22       4.768277
57           8                0             112     183       4.202286
58           8                0             115       4       5.932710
59           9                0               0     538       1.500627
60           9                0               5       5       4.773368
61           9                0               7     268       2.630392
62           9                0               9       7       2.745041
63           9                0              97     120       4.769985
64           9                0              99      10       5.994784
65           9                0             112     108       4.147852
66          10                0               0      62       1.391518
67          10                0               7      24       3.270026
68          10                0              97      19       5.132297
69          10                0             112      69       4.299958
70          11                0               0      14       2.276556
71          11                0              97       8       5.597228
72          11                0             112      84       4.616301
73          12                0             112       3       5.126000
74          13                0             120      14       2.727285
75          13                2             134      14       4.213123
76          14                0              16      16       1.967135
77          14                0              18     112       0.689185
78          14                0              99      79       5.314808
79          14                0             120      52       2.366080
80          14                0             121      11       1.625197
81          14                2             134       6       3.837896
82          15                0              16     232       1.327267
83          15                0              18    2029       0.192178
84          15                0              82      18       6.134564
85          15                0              99      27       4.791532
86          15                0             113      15       4.956840
87          15                0             120      28       2.512206
88          15                2             134      33       3.844317
89          16                0               5       3       3.555756
90          16                0               8     182       2.001951
91          16                0              16    2288       0.864592
92          16                0              18     130       0.629564
93          16                0              82      81       5.831546
94          16                0              97      56       5.693512
95          16                0              99      18       4.322994
96          16                0             113      66       4.832578
97          16                0             120     178       2.707401
98          16                2             134      73       3.918018
99          17                0               5     196       2.656471
100         17                0               6       8       1.339679
101         17                0               8    2259       1.525365
102         17                0              15     324       0.043417
103         17                0              16     288       1.286946
104         17                0              82      90       5.668587
105         17                0              97     168       5.148286
106         17                0              99       4       4.022997
107         17                0             113      81       4.871551
108         17                0             115       2       6.047120
109         17                0             120      28       3.327364
110         17                2             134     138       4.352825
111         18                0               5    2478       2.191105
112         18                0               6     967       0.605271
113         18                0               8     297       1.939084
114         18                0              15    1074       0.250386
115         18                0              82     101       5.648959
116         18                0              97     200       4.638725
117         18                0              99     227       3.937522
118         18                0             115       3       5.732450
119         19                0               5     257       2.608716
120         19                0               6    2144       0.480551
121         19                0               7      37       2.541754
122         19                0               9     970       1.271692
123         19                0              76       5       5.824682
124         19                0              82      32       5.875453
125         19                0              97     236       4.196485
126         19                0              99     282       4.183610
127         19                0             112     105       4.481507
128         19                0             113       1       5.497925
129         19                0             115      84       5.372317
130         20                0               1     378       0.120678
131         20                0               6      31       1.203886
132         20                0               7    1381       1.915077
133         20                0               9    1882       1.147418
134         20                0              76      41       5.408935
135         20                0              82      76       6.036716
136         20                0              97     188       3.929133
137         20                0              99      40       4.771005
138         20                0             112     149       3.998786
139         20                0             115     103       5.244056
140         21                0               0      94       1.224499
141         21                0               3    1957       0.022616
142         21                0               7    2003       1.814487
143         21                0               9      28       1.857356
144         21                0              82       1       6.483990
145         21                0              97      74       4.082400
146         21                0              99      75       5.130880
147         21                0             112     238       3.640213
148         21                0             115       2       5.575180
149         22                0               0    2379       0.681763
150         22                0               3     222       0.330641
151         22                0               7      44       2.529351
152         22                0              76     111       5.102652
153         22                0              97      62       4.296113
154         22                0              99      25       5.717717
155         22                0             112     194       3.557620
156         22                0             115      50       5.433981
157         23                0               0     417       0.971004
158         23                0              76      79       5.176499
159         23                0              97     104       4.754712
160         23                0             112     227       3.782205
161         23                0             115      12       5.732129
162         24                0               0      46       1.667077
163         24                0              76      33       5.389137
164         24                0              97      84       5.275479
165         24                0             112      58       4.199561
166         25                0             112       2       4.905804
167         26                0             120      95       2.326490
168         26                0             121      52       1.219808
169         26                2             134       3       4.174067
170         27                0               5       3       4.910076
171         27                0               8       8       3.604851
172         27                0              16      18       2.357360
173         27                0              18      12       1.362086
174         27                0              82      31       6.076634
175         27                0              99      96       5.131883
176         27                0             113      65       4.717071
177         27                0             120     336       1.826355
178         27                0             121     620       0.802656
179         27                2             134      56       3.196908
180         28                0               5      48       4.032813
181         28                0               8     137       2.775628
182         28                0              16     308       1.650621
183         28                0              18     181       0.921703
184         28                0              42      17       3.517107
185         28                0              82      45       5.644096
186         28                0              99     147       4.548800
187         28                0             113     155       4.387362
188         28                0             120     668       1.866657
189         28                0             121     295       1.209917
190         28                2             134     101       3.228684
191         29                0               5     148       3.450095
192         29                0               8     331       2.315113
193         29                0              16     611       1.448827
194         29                0              18      35       1.284987
195         29                0              82      87       5.319862
196         29                0              97     101       5.540650
197         29                0              99     225       3.988198
198         29                0             113     179       4.238978
199         29                0             120     392       2.359332
200         29                2             134     286       3.522609
201         30                0               5     376       2.980777
202         30                0               8     636       2.102953
203         30                0              16     300       1.629557
204         30                0              74      26       6.370049
205         30                0              82     134       5.081706
206         30                0              97     205       4.954331
207         30                0              99     464       3.480558
208         30                0             113     196       4.291800
209         30                0             115      91       5.553541
210         30                0             120     154       2.940768
211         30                2             134     234       4.031113
212         31                0               5     580       2.774773
213         31                0               6     199       1.160784
214         31                0               7      74       3.290630
215         31                0               8     394       2.279018
216         31                0               9     148       2.093016
217         31                0              16      31       2.295121
218         31                0              74      16       6.361826
219         31                0              76       6       5.851546
220         31                0              82     158       5.057937
221         31                0              97     325       4.376404
222         31                0              99    1052       3.358640
223         31                0             112     139       4.788133
224         31                0             113     203       4.525368
225         31                0             115     179       5.137501
226         31                2             133      17       6.796725
227         31                2             134     125       4.602481
228         32                0               5     385       2.952777
229         32                0               6     272       1.086309
230         32                0               7     257       2.735220
231         32                0               8     155       2.718285
232         32                0               9     512       1.709256
233         32                0              74      10       6.503539
234         32                0              76      92       5.302765
235         32                0              80       7       6.462499
236         32                0              82     148       5.229764
237         32                0              97     480       3.817111
238         32                0              99     525       3.796036
239         32                0             112     274       4.208500
240         32                0             113      73       4.889967
241         32                0             115     212       4.820194
242         32                2             133      25       6.783041
243         32                2             134       5       5.225243
244         33                0               5     176       3.390305
245         33                0               6      13       1.704822
246         33                0               7     502       2.368075
247         33                0               8      23       3.401287
248         33                0               9     581       1.667384
249         33                0              76     165       4.902079
250         33                0              80      34       6.332323
251         33                0              82     145       5.550155
252         33                0              97    1013       3.366722
253         33                0              99     288       4.350034
254         33                0             112     421       3.644729
255         33                0             115     196       4.652682
256         33                2             133       9       6.818276
257         34                0               0     125       1.579507
258         34                0               3      20       1.033172
259         34                0               5      89       3.921116
260         34                0               7     523       2.331933
261         34                0               9     217       1.988395
262         34                0              76     153       4.618196
263         34                0              80      18       6.343318
264         34                0              82     111       5.967681
265         34                0              97     506       3.450758
266         34                0              99     201       4.927485
267         34                0             112     807       3.140570
268         34                0             115     174       4.684868
269         35                0               0     470       1.250942
270         35                0               5       6       4.700136
271         35                0               7     290       2.651995
272         35                0               9      10       2.758447
273         35                0              76     160       4.510926
274         35                0              80       3       6.511899
275         35                0              82      28       6.448072
276         35                0              97     223       3.945823
277         35                0              99     131       5.513076
278         35                0             112     713       2.975129
279         35                0             115     133       4.899970
280         36                0               0     322       1.383025
281         36                0               7     109       3.146405
282         36                0              76     127       4.610693
283         36                0              85     216       1.176436
284         36                0              88       4       3.285092
285         36                0              97     147       4.510916
286         36                0             112     299       3.365816
287         36                0             115      92       5.251903
288         37                0               0      19       2.084707
289         37                0               7      10       4.044367
290         37                0              76      38       4.897405
291         37                0              85     635       0.721549
292         37                0              97      83       5.092934
293         37                0             112     180       3.910971
294         37                0             115      12       5.695533
295         38                0              76       4       5.375547
296         38                0              85      66       1.157830
297         38                0              97       2       5.731635
298         38                0             112      48       4.495050
299         39                0              42      36       2.935548
300         39                0             113      28       4.754929
301         39                0             120     135       2.260263
302         39                0             121     152       1.035153
303         40                0              42      30       2.784300
304         40                0              75       5       5.564409
305         40                0              82      35       5.790441
306         40                0              99      66       5.161984
307         40                0             113      57       4.378152
308         40                0             117       2       1.794859
309         40                0             120     515       1.671260
310         40                0             121    1210       0.580449
311         40                2             134      12       3.235612
312         41                0               5      50       4.307419
313         41                0               8      46       3.284455
314         41                0              16       8       2.676651
315         41                0              42     101       2.874999
316         41                0              74      29       6.199492
317         41                0              75      53       5.338196
318         41                0              82      74       5.241957
319         41                0              99     162       4.508629
320         41                0             113     192       3.860416
321         41                0             120    1215       1.709179
322         41                0             121     548       1.106008
323         41                2             134    1240       2.730899
324         42                0               5     195       3.821876
325         42                0               8     204       2.830487
326         42                0              16      57       2.302374
327         42                0              42      88       3.218139
328         42                0              74      80       5.928491
329         42                0              75      79       5.272646
330         42                0              82      89       4.803023
331         42                0              97     120       5.514140
332         42                0              99     227       3.918536
333         42                0             113     228       3.647103
334         42                0             115      50       5.742887
335         42                0             120     506       2.284722
336         42                2             133       9       6.664068
337         42                2             134     556       3.324809
338         43                0               5     291       3.496578
339         43                0               8     307       2.697659
340         43                0              16      12       2.578938
341         43                0              74      96       5.778607
342         43                0              75      60       5.354889
343         43                0              80      23       6.479316
344         43                0              82     190       4.507671
345         43                0              97     221       4.920804
346         43                0              99     655       3.347323
347         43                0             113     331       3.724590
348         43                0             115     201       5.208246
349         43                0             120     182       2.882289
350         43                2             133      88       6.381709
351         43                2             134     312       3.921696
352         44                0               5     304       3.373664
353         44                0               7      19       3.763932
354         44                0               8     266       2.805631
355         44                0               9       5       2.990160
356         44                0              74      98       5.767323
357         44                0              75      22       5.582230
358         44                0              76      48       5.475618
359         44                0              80      77       6.123415
360         44                0              82     229       4.469614
361         44                0              97     331       4.328918
362         44                0              99    1080       3.176490
363         44                0             112     125       4.750250
364         44                0             113     303       4.048793
365         44                0             115     247       4.713661
366         44                2             133     111       6.236747
367         44                2             134     196       4.517852
368         45                0               5     242       3.478893
369         45                0               7     188       3.178736
370         45                0               8      51       3.214724
371         45                0               9      99       2.430311
372         45                0              74     101       5.899319
373         45                0              76     181       4.944371
374         45                0              80     104       5.872225
375         45                0              82     231       4.714742
376         45                0              97     600       3.743255
377         45                0              99     566       3.717959
378         45                0             112     291       4.157423
379         45                0             113     215       4.503623
380         45                0             115     314       4.302091
381         45                2             133     111       6.176835
382         45                2             134      27       5.151453
383         46                0               5     171       3.788590
384         46                0               7     272       2.935066
385         46                0               9     110       2.378827
386         46                0              74      74       6.154500
387         46                0              76     214       4.462017
388         46                0              77      40       5.543481
389         46                0              80     100       5.741937
390         46                0              82     168       5.131470
391         46                0              97    1126       3.194420
392         46                0              99     300       4.303872
393         46                0             112     424       3.567050
394         46                0             113      69       5.018039
395         46                0             115     284       4.063519
396         46                2             133      97       6.213514
397         47                0               5      64       4.246964
